time,open,high,low,close,vwap,volume,count
2026-07-25 17:00:00,64150.0,64286.0,64130.6,64191.5,64226.7,34.49972148,1368
2026-07-25 18:00:00,64191.6,64375.1,64191.6,64350.8,64288.6,28.78811257,1466
2026-07-25 19:00:00,64352.8,64379.7,64327.3,64328.5,64356.9,16.40852499,944
2026-07-25 20:00:00,64328.6,64339.8,64247.7,64270.3,64288.9,17.28909531,1098
2026-07-25 21:00:00,64270.4,64361.7,64209.3,64286.2,64279.9,13.63338895,995
2026-07-25 22:00:00,64286.2,64368.0,64286.1,64355.5,64337.8,8.48180395,1061
2026-07-25 23:00:00,64355.6,64368.0,64296.5,64312.9,64328.7,8.51319051,804
2026-07-26 00:00:00,64312.9,64446.0,64280.7,64434.9,64390.4,12.70796872,1202
2026-07-26 01:00:00,64435.0,64461.0,64395.9,64396.0,64436.6,7.0135946,776
2026-07-26 02:00:00,64396.1,64457.6,64368.8,64450.0,64396.2,15.46256221,1067
2026-07-26 03:00:00,64450.0,64500.0,64420.3,64481.8,64476.7,23.7479095,1108
2026-07-26 04:00:00,64481.9,64525.4,64440.5,64477.8,64480.1,11.84257739,789
2026-07-26 05:00:00,64468.0,64468.0,64345.3,64358.6,64380.1,30.14425359,963
2026-07-26 06:00:00,64358.6,64396.8,64230.9,64380.8,64353.2,24.63917791,1118
2026-07-26 07:00:00,64380.8,64400.0,64290.7,64310.2,64336.5,10.12437459,968
2026-07-26 08:00:00,64310.2,64433.2,64269.0,64419.3,64349.3,32.15205629,1373
2026-07-26 09:00:00,64419.4,64496.9,64419.3,64483.0,64471.7,6.37872761,475
2026-07-26 10:00:00,64483.1,64499.0,64434.1,64461.9,64450.5,10.28521762,673
2026-07-26 11:00:00,64462.0,64462.0,64451.0,64451.2,64455.2,2.54940267,474
2026-07-26 12:00:00,64451.2,64595.9,64400.0,64424.8,64494.5,22.22455279,976
2026-07-26 13:00:00,64424.8,64500.0,64378.0,64458.4,64439.6,35.37739152,1125
2026-07-26 14:00:00,64458.4,64699.0,64458.3,64658.8,64588.3,32.9173465,2261
2026-07-26 15:00:00,64657.2,64750.0,64615.7,64718.6,64696.3,30.79261732,1624
2026-07-26 16:00:00,64718.6,64861.3,64646.3,64672.5,64735.3,15.31942667,1804
2026-07-26 17:00:00,64672.9,64739.7,64616.0,64620.0,64659.4,52.88676529,1546
2026-07-26 18:00:00,64620.0,64702.4,64613.3,64691.1,64641.7,9.06544102,1422
2026-07-26 19:00:00,64691.1,64697.0,64626.0,64640.6,64656.5,6.61961617,1054
2026-07-26 20:00:00,64640.6,64640.6,64581.8,64595.0,64598.4,10.26969783,920
2026-07-26 21:00:00,64595.2,64849.9,64595.1,64784.7,64717.6,21.35088531,1354
2026-07-26 22:00:00,64784.7,65432.7,64784.7,65346.7,65190.1,139.33262717,3685
2026-07-26 23:00:00,65349.7,65500.0,65223.2,65336.6,65370.8,51.11692647,2238
2026-07-27 00:00:00,65336.6,65368.8,65004.6,65057.3,65203.1,44.24711933,2213
2026-07-27 01:00:00,65068.9,65150.0,64853.6,65139.9,65048.1,51.5507983,2057
2026-07-27 02:00:00,65139.9,65212.0,65055.2,65117.5,65131.3,17.27991165,1676
2026-07-27 03:00:00,65116.8,65295.6,65106.2,65221.7,65189.3,15.15190231,1345
2026-07-27 04:00:00,65221.7,65420.0,65187.2,65240.2,65335.5,22.40378658,1422
2026-07-27 05:00:00,65240.2,65424.2,65230.1,65406.9,65320.7,9.08652178,1115
2026-07-27 06:00:00,65406.9,65682.6,65358.7,65369.5,65541.8,29.83804584,1765
2026-07-27 07:00:00,65369.0,65391.0,65149.9,65164.1,65242.3,43.81144874,1862
2026-07-27 08:00:00,65164.1,65202.9,65075.0,65102.7,65145.5,35.08631336,1434
2026-07-27 09:00:00,65101.4,65285.1,65051.0,65207.0,65190.5,23.98348969,1226
2026-07-27 10:00:00,65205.1,65357.0,65174.0,65278.2,65285.7,18.53036519,958
2026-07-27 11:00:00,65278.2,65278.2,65048.5,65054.7,65166.0,7.92556848,1225
2026-07-27 12:00:00,65048.6,65199.9,64800.0,65010.0,64991.6,42.18128828,2167
2026-07-27 13:00:00,65013.5,65629.3,64850.1,65157.2,65220.5,104.83887719,3973
2026-07-27 14:00:00,65148.5,65362.2,64403.8,64615.4,64845.8,261.46863232,6134
2026-07-27 15:00:00,64615.4,64698.3,64252.9,64482.4,64416.9,334.93709225,4831
2026-07-27 16:00:00,64482.4,64889.3,64450.0,64831.3,64716.2,88.7458002,3469
2026-07-27 17:00:00,64831.4,65009.4,64729.1,64953.6,64898.9,31.65534561,2673
2026-07-27 18:00:00,64953.6,64994.0,64686.9,64799.3,64778.0,89.64971124,3024
2026-07-27 19:00:00,64799.3,65000.0,64745.1,64902.9,64894.7,33.5250696,2488
2026-07-27 20:00:00,64909.3,64986.9,64838.8,64898.3,64899.2,42.26371688,2124
2026-07-27 21:00:00,64898.3,64898.3,64745.0,64746.7,64821.8,13.85766994,1471
2026-07-27 22:00:00,64746.7,64746.7,63750.0,63750.0,64248.1,222.66981681,4030
2026-07-27 23:00:00,63750.1,63882.4,63550.0,63697.1,63726.6,108.2955244,3637
2026-07-28 00:00:00,63697.1,63762.6,63417.4,63418.8,63557.2,81.29614345,3821
2026-07-28 01:00:00,63418.8,63470.8,63008.0,63164.5,63192.7,116.99576202,3439
2026-07-28 02:00:00,63166.6,63237.0,63055.7,63117.6,63157.1,47.69113703,2245
2026-07-28 03:00:00,63117.6,63309.4,63102.4,63274.6,63231.6,28.98063563,1694
2026-07-28 04:00:00,63281.1,63296.7,63156.6,63272.4,63237.8,27.79925162,1270
2026-07-28 05:00:00,63286.5,63542.5,63270.0,63400.1,63404.6,46.12943612,1501
2026-07-28 06:00:00,63400.1,63567.0,63330.3,63566.9,63443.1,33.61998267,1529
2026-07-28 07:00:00,63566.8,63578.5,63382.5,63434.9,63493.0,22.30407429,1188
2026-07-28 08:00:00,63435.0,63463.2,63333.0,63354.0,63392.4,19.05791954,1411
2026-07-28 09:00:00,63354.1,63500.8,63300.1,63328.2,63389.2,13.38670886,1183
2026-07-28 10:00:00,63328.3,63483.2,63222.1,63402.9,63349.6,31.65586153,1604
2026-07-28 11:00:00,63402.9,63529.6,63297.8,63412.2,63408.3,35.51351925,1932
2026-07-28 12:00:00,63399.7,63496.5,63318.4,63475.3,63396.0,24.50093438,1766
2026-07-28 13:00:00,63475.3,63515.0,62684.4,63033.8,63051.5,190.88626221,4982
2026-07-28 14:00:00,63029.4,63460.2,62883.8,63337.3,63187.8,76.3282817,4498
2026-07-28 15:00:00,63335.8,63938.9,63184.6,63858.9,63647.9,121.12126679,4921
2026-07-28 16:00:00,63858.9,64018.6,63705.3,63969.9,63868.8,65.92478097,3083
2026-07-28 17:00:00,63969.9,63969.9,63437.4,63608.7,63618.9,46.49225381,3146
2026-07-28 18:00:00,63608.8,63778.2,63603.3,63662.8,63664.7,27.71057382,2727
2026-07-28 19:00:00,63660.1,63808.2,63600.0,63801.5,63717.8,39.83203987,2552
2026-07-28 20:00:00,63813.3,63929.7,63795.8,63830.6,63856.0,27.93732484,2351
2026-07-28 21:00:00,63830.6,63980.0,63810.1,63899.3,63882.4,20.1759129,1794
2026-07-28 22:00:00,63892.4,63942.4,63689.8,63707.3,63783.6,30.50615694,1988
2026-07-28 23:00:00,63701.2,63871.5,63500.0,63859.6,63610.8,40.23935917,2159
2026-07-29 00:00:00,63844.5,64094.8,63787.5,63874.7,63945.2,44.76510844,2774
2026-07-29 01:00:00,63871.3,63921.8,63620.4,63627.9,63747.5,20.86519399,2450
2026-07-29 02:00:00,63632.6,64024.3,63567.4,63880.1,63817.6,19.18006769,2280
2026-07-29 03:00:00,63893.7,63900.6,63635.7,63657.0,63757.1,10.24363115,1646
2026-07-29 04:00:00,63662.0,63883.3,63514.2,63883.2,63637.1,17.00137284,1836
2026-07-29 05:00:00,63883.3,63995.5,63812.7,63979.6,63917.5,25.8506533,1521
2026-07-29 06:00:00,63979.6,64365.2,63943.2,64342.9,64193.1,49.07675409,2161
2026-07-29 07:00:00,64342.9,64481.2,64315.8,64481.2,64397.9,42.72986829,1381
2026-07-29 08:00:00,64481.2,64490.6,64200.5,64330.9,64314.3,24.46030356,1521
2026-07-29 09:00:00,64332.0,64643.8,64303.3,64614.9,64499.7,37.04015766,1960
2026-07-29 10:00:00,64614.9,64627.0,64332.9,64393.7,64545.1,24.52783169,1502
2026-07-29 11:00:00,64393.7,64514.5,64346.3,64424.9,64423.7,13.83440115,1271
2026-07-29 12:00:00,64425.0,64434.1,64157.0,64200.0,64250.3,53.56006043,1705
2026-07-29 13:00:00,64200.0,64581.8,64064.9,64581.8,64250.5,101.73376071,4490
2026-07-29 14:00:00,64581.8,64631.2,63983.5,64021.4,64142.3,92.86614658,4045
2026-07-29 15:00:00,64017.9,64101.0,63800.7,63881.9,63970.1,56.35798464,3177
2026-07-29 16:00:00,63881.9,64035.0,63551.7,63725.0,63837.6,51.69296692,3041
2026-07-29 17:00:00,63725.0,64178.0,63634.7,64178.0,63921.6,69.1690153,2488
2026-07-29 18:00:00,64180.1,64582.2,63700.0,64424.8,64262.5,162.02361411,6002
2026-07-29 19:00:00,64429.6,64516.3,63450.0,63514.9,63813.6,172.48145891,4972
2026-07-29 20:00:00,63525.4,63650.9,63300.1,63444.2,63498.5,65.66887617,3880
2026-07-29 21:00:00,63437.7,63766.8,63208.4,63766.8,63472.7,60.07270908,3689
2026-07-29 22:00:00,63768.5,64041.6,63768.5,63859.2,63914.7,61.84589923,3010
2026-07-29 23:00:00,63859.2,63988.2,63817.9,63901.0,63906.7,20.18979515,1689
2026-07-30 00:00:00,63901.0,64024.9,63536.5,63611.7,63877.9,72.48158861,2166
2026-07-30 01:00:00,63611.2,64288.4,63611.2,64172.4,63877.0,52.8171296,2236
2026-07-30 02:00:00,64180.5,64314.3,64082.1,64097.6,64216.5,14.25757211,1917
2026-07-30 03:00:00,64097.6,64200.0,64052.0,64078.6,64137.0,23.03700556,1289
2026-07-30 04:00:00,64078.7,64095.1,63916.9,63935.8,64000.5,26.04535352,1425
2026-07-30 05:00:00,63935.9,64069.7,63829.4,63952.8,63946.0,13.74058925,1488
2026-07-30 06:00:00,63952.8,63996.3,63873.8,63920.3,63938.1,8.52868033,1194
2026-07-30 07:00:00,63920.4,64059.8,63871.8,63906.4,63992.6,28.85229566,1263
2026-07-30 08:00:00,63912.1,64252.9,63889.2,64209.1,64101.4,34.82397543,1532
2026-07-30 09:00:00,64209.1,64535.5,64184.8,64476.4,64407.8,63.09314052,1642
2026-07-30 10:00:00,64476.5,64532.9,64474.0,64486.0,64509.0,13.66169608,1082
2026-07-30 11:00:00,64486.0,64779.9,64451.1,64695.4,64622.0,67.81257121,1924
2026-07-30 12:00:00,64695.5,64924.3,64695.5,64842.9,64822.9,62.05063345,2371
2026-07-30 13:00:00,64842.9,65078.5,64613.1,64972.4,64832.5,164.52083607,3612
2026-07-30 14:00:00,64972.4,64972.4,64546.8,64617.8,64713.8,105.38028267,3820
2026-07-30 15:00:00,64617.8,64809.7,64533.2,64659.7,64641.1,37.00119426,2721
2026-07-30 16:00:00,64659.8,64894.1,64652.9,64758.1,64799.5,63.51709658,2491
2026-07-30 17:00:00,64758.2,64915.2,64704.4,64811.0,64829.5,49.34585524,2199
2026-07-30 18:00:00,64811.0,64830.0,64616.6,64638.7,64672.4,31.09561456,1948
2026-07-30 19:00:00,64638.8,64852.7,64637.7,64742.9,64782.9,43.33191827,1898
2026-07-30 20:00:00,64742.9,64875.0,64704.4,64711.8,64755.7,38.45218247,2056
2026-07-30 21:00:00,64710.1,64744.7,64646.5,64669.7,64703.2,29.88185119,1734
2026-07-30 22:00:00,64669.7,64947.3,64614.9,64787.9,64801.2,59.65838652,2045
2026-07-30 23:00:00,64787.9,65000.0,64681.7,64723.0,64925.6,49.26362743,1819
2026-07-31 00:00:00,64723.0,64839.9,64625.5,64666.8,64730.2,29.91282588,2158
2026-07-31 01:00:00,64666.8,65369.8,64436.0,64502.9,64911.3,246.75484608,4032
2026-07-31 02:00:00,64502.9,64524.6,64158.7,64221.5,64311.6,162.58228576,2665
2026-07-31 03:00:00,64221.5,64367.1,64121.7,64299.3,64246.0,60.85831206,1922
2026-07-31 04:00:00,64299.3,64367.2,64175.0,64235.6,64229.9,23.53335809,1223
2026-07-31 05:00:00,64235.6,64347.9,64214.5,64304.8,64269.9,15.84021146,1218
